"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"6933244369554176904","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","212","2.03497","2701","1727000","2025-03-29T11:09:50.283Z","11:27","False","True","2025-03-29","True","2844","1178","1844","-1","11377","17","51.816","1236","109","55","40","total","8.5786","864","43","2663","10000","11.27","10","30"
"9032104770715178088","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","115","1.11635","1494","868000","2025-03-29T12:25:37.420Z","13:01","False","True","2025-03-29","True","","","","","","","","","","","","tracker","8.5786","","","","","","",""
"5352044535669704104","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","213","2.07479","2761","1697000","2025-03-29T14:41:54.830Z","14:29","False","True","2025-03-29","True","","","","","","","","","","","","sedentaryActive","0.3839","","","","","","",""
"8976677910997880128","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","81","0.77067","1052","788000","2025-03-29T15:42:36.144Z","16:27","False","True","2025-03-29","True","","","","","","","","","","","","lightlyActive","0.5465","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","0.1497","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.6807","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","5.99678","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","2.03497","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.11635","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","2.07479","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.77067","","","","","","",""
