minutes__minute;minutes__value__rmssd;minutes__value__coverage;minutes__value__hf;minutes__value__lf;dateTime
2025-03-11T00:30:00.000;155.906;0.786;2731.643;833.944;11/03/2025
2025-03-11T00:35:00.000;126.013;0.855;1600.68;501.452;
2025-03-11T00:40:00.000;141.952;0.93;2147.07;754.578;
2025-03-11T00:45:00.000;149.727;0.986;3165.594;1208.069;
2025-03-11T00:50:00.000;147.728;1.005;3267.195;942.001;
2025-03-11T00:55:00.000;150.739;0.916;2762.307;933.216;
2025-03-11T01:00:00.000;148.272;0.874;3070.943;5830.653;
2025-03-11T01:05:00.000;162.896;0.981;4544.306;656.826;
2025-03-11T01:10:00.000;171.875;0.996;4734.749;532.567;
2025-03-11T01:15:00.000;174.586;1.007;4290.826;1527.937;
2025-03-11T01:20:00.000;172.971;0.986;4155.855;815.941;
2025-03-11T01:25:00.000;147.116;0.984;3275.12;1851.93;
2025-03-11T01:30:00.000;170.015;0.971;4688.76;1732.798;
2025-03-11T01:35:00.000;180.003;0.972;4858.962;3015.983;
2025-03-11T01:40:00.000;172.245;0.992;3853.272;1800.074;
2025-03-11T01:45:00.000;169.164;1.004;3451.619;1173.389;
2025-03-11T01:50:00.000;133.114;0.94;3609.645;1150.375;
2025-03-11T01:55:00.000;135.927;0.977;2078.314;1424.429;
2025-03-11T02:00:00.000;124.188;1.006;2389.651;1624.415;
2025-03-11T02:05:00.000;145.591;0.958;3845.687;1049.349;
2025-03-11T02:10:00.000;138.668;1.001;3275.117;439.317;
2025-03-11T02:15:00.000;138.015;0.973;3232.827;786.248;
2025-03-11T02:20:00.000;132.759;0.982;2967.229;3222.86;
2025-03-11T02:25:00.000;127.142;0.974;3030.925;801.83;
2025-03-11T02:30:00.000;140.416;0.938;2852.453;6354.607;
2025-03-11T02:35:00.000;139.275;0.974;2854.453;490.423;
2025-03-11T02:40:00.000;125.583;1.004;2449.748;447.264;
2025-03-11T02:45:00.000;118.888;0.978;1929.638;1094.105;
2025-03-11T02:50:00.000;147.228;0.958;3575.643;2965.926;
2025-03-11T02:55:00.000;171.475;0.974;4692.303;4218.972;
2025-03-11T03:00:00.000;159.43;0.871;4141.468;2083.524;
2025-03-11T03:05:00.000;173.573;1.005;5404.427;2149.256;
2025-03-11T03:10:00.000;151.145;0.903;2643.002;1259.408;
2025-03-11T03:15:00.000;150.572;0.945;2248.007;3853.566;
2025-03-11T03:20:00.000;184.58;1.002;4839.242;1084.608;
2025-03-11T03:25:00.000;207.969;1.003;5705.445;3835.07;
2025-03-11T03:30:00.000;194.22;1.003;5091.94;2963.924;
2025-03-11T03:35:00.000;188.446;0.989;5224.179;4185.819;
2025-03-11T03:40:00.000;200.183;1.001;6284.223;1759.426;
2025-03-11T03:45:00.000;166.18;0.92;2724.209;6922.913;
2025-03-11T03:50:00.000;164.633;0.906;3816.207;852.87;
2025-03-11T03:55:00.000;138.69;1.002;2563.214;595.399;
2025-03-11T04:00:00.000;140.184;1.006;2293.033;849.546;
2025-03-11T04:05:00.000;149.314;0.997;3364.909;819.604;
2025-03-11T04:10:00.000;151.727;1;3482.5;1192.425;
2025-03-11T04:15:00.000;160.876;0.887;3567.182;3693.905;
2025-03-11T04:20:00.000;132.847;0.839;2707.935;6638.521;
2025-03-11T04:25:00.000;126.05;1.001;2953.457;1156.091;
2025-03-11T04:30:00.000;126.705;1.003;2899.949;497.9;
2025-03-11T04:35:00.000;134.311;0.997;3178.043;734.612;
2025-03-11T04:40:00.000;168.985;0.875;4417.19;10102.754;
2025-03-11T04:45:00.000;187.853;1.006;5487.793;3710.082;
2025-03-11T04:50:00.000;175.866;0.984;5045.81;807.104;
2025-03-11T04:55:00.000;186.168;1.006;6134.62;1427.95;
2025-03-11T05:00:00.000;177.291;1.002;5392.715;756.444;
2025-03-11T05:05:00.000;167.358;0.955;4295.878;4288.124;
2025-03-11T05:10:00.000;176.869;1.005;4036.29;2455.348;
2025-03-11T05:15:00.000;190.269;0.957;4670.475;2207.935;
2025-03-11T05:20:00.000;222.632;0.962;5669.254;5792.875;
2025-03-11T05:25:00.000;210.705;1.002;6855.776;3123.597;
2025-03-11T05:30:00.000;243.788;0.936;6338.964;3091.417;
2025-03-11T05:35:00.000;244.944;1.006;10212.09;4444.997;
2025-03-11T05:40:00.000;213.687;1.005;7563.201;6221.123;
2025-03-11T05:45:00.000;183.588;1.005;5034.681;8065.593;
2025-03-11T05:50:00.000;200.971;1.003;6612.606;866.061;
2025-03-11T05:55:00.000;198.658;0.979;5475.577;4837.983;
2025-03-11T06:00:00.000;185.288;1.003;6223.143;961.722;
2025-03-11T06:05:00.000;187.912;1.003;6117.584;1299.491;
2025-03-11T06:10:00.000;180.311;1.005;5220.74;655.353;
2025-03-11T06:15:00.000;195.095;1.005;6492.997;5897.144;
2025-03-11T06:20:00.000;176.108;0.915;4175.824;3123.907;
2025-03-11T06:25:00.000;182.183;1.005;4696.882;6226.997;
2025-03-11T06:30:00.000;173.81;0.98;5154.214;4914.43;
2025-03-11T06:35:00.000;163.965;1.005;3483.763;4005.641;
2025-03-11T06:40:00.000;188.019;0.966;2806.487;3040.547;
2025-03-11T06:45:00.000;215.338;1.005;4841.829;7074.654;
2025-03-11T06:50:00.000;198.538;1.002;4171.592;1885.238;
2025-03-11T06:55:00.000;178.6;1.002;5317.489;4115.819;
2025-03-11T07:00:00.000;153.27;0.942;3692.002;3244.983;
2025-03-11T07:05:00.000;141.068;0.897;3498.882;2008.311;
2025-03-11T07:10:00.000;164.847;0.973;4078.164;2772.003;
2025-03-11T07:15:00.000;182.144;1.003;5107.444;3358.873;
2025-03-11T07:20:00.000;184.881;1.004;4162.721;2027.13;
2025-03-11T07:25:00.000;205.496;1.007;7100.331;3468.589;
2025-03-11T07:30:00.000;176.991;0.988;5201.703;1890.356;
2025-03-11T07:35:00.000;176.955;0.999;4523.768;983.857;
2025-03-11T07:40:00.000;176.618;1.002;4823.559;955.075;
2025-03-11T07:45:00.000;173.767;0.941;3674;3155.607;
2025-03-11T07:50:00.000;157.775;0.998;4052.744;3135.056;
2025-03-11T07:55:00.000;156.426;0.993;3314.684;1313.941;
2025-03-11T08:00:00.000;157.152;1.003;3178.695;2381.393;
2025-03-11T08:05:00.000;159.105;0.96;2987.029;1378.934;
2025-03-11T08:10:00.000;169.914;0.989;3842.089;4720.369;
2025-03-11T08:15:00.000;164.701;0.983;3684.084;1698.299;
2025-03-11T08:20:00.000;151.717;1.002;3695.462;1543.033;
2025-03-11T08:25:00.000;166.319;0.928;4566.242;2136.357;
2025-03-11T08:30:00.000;167.55;0.963;4341.917;3053.496;
2025-03-11T23:00:00.000;134.095;0.921;3243.293;649.588;
2025-03-11T23:05:00.000;157.748;1.001;4026.249;1108.451;
2025-03-11T23:10:00.000;155.639;0.988;3896.014;1189.683;
2025-03-11T23:15:00.000;136.66;1;3056.728;809.633;
2025-03-11T23:20:00.000;127.898;1.002;2891.32;1514.878;
