"minutes__minute","minutes__value__rmssd","minutes__value__coverage","minutes__value__hf","minutes__value__lf","dateTime"
"2025-04-11T01:40:00.000","160.572","0.765","1952.809","1684.826","2025-04-11"
"2025-04-11T01:45:00.000","151.035","0.956","2538.604","1832.557",""
"2025-04-11T01:50:00.000","165.132","0.964","3686.131","1177.292",""
"2025-04-11T01:55:00.000","186.916","0.961","5632.537","2111.728",""
"2025-04-11T02:00:00.000","165.324","0.985","4117.939","2250.663",""
"2025-04-11T02:05:00.000","161.899","1.004","4441.281","395.159",""
"2025-04-11T02:10:00.000","175.186","1.005","5897.43","2350.027",""
"2025-04-11T02:15:00.000","180.28","0.99","5535.001","1011.951",""
"2025-04-11T02:20:00.000","163.766","0.937","3385.799","1882.637",""
"2025-04-11T02:25:00.000","156.659","1.006","3887.073","1416.884",""
"2025-04-11T02:30:00.000","163.347","1.002","3633.335","1866.119",""
"2025-04-11T02:35:00.000","143.9","1.003","3450.234","1819.502",""
"2025-04-11T02:40:00.000","188.589","0.972","5970.771","2975.634",""
"2025-04-11T02:45:00.000","214.727","0.992","7563.809","1264.163",""
"2025-04-11T02:50:00.000","198.23","1.002","9211.696","4640.242",""
"2025-04-11T02:55:00.000","192.533","0.96","5387.983","7170.929",""
"2025-04-11T03:05:00.000","201.102","0.988","6666.214","3977.841",""
"2025-04-11T03:10:00.000","180.407","0.995","5640.919","660.597",""
"2025-04-11T03:15:00.000","182.645","0.995","5364.106","7463.633",""
"2025-04-11T03:20:00.000","193.229","0.887","5930.441","1712.653",""
"2025-04-11T03:25:00.000","183.322","0.978","4042.396","7063.072",""
"2025-04-11T03:30:00.000","200.492","0.942","6295.744","754.877",""
"2025-04-11T03:35:00.000","219.08","0.966","6934.145","1864.059",""
"2025-04-11T03:40:00.000","207.09","0.991","6833.492","8757.132",""
"2025-04-11T03:45:00.000","207.409","0.997","7466.38","2627.029",""
"2025-04-11T03:50:00.000","218.794","1.005","6627.889","1078.19",""
"2025-04-11T03:55:00.000","211.584","1.005","7057.434","1642.145",""
"2025-04-11T04:00:00.000","220.861","0.88","6656.39","1384.013",""
"2025-04-11T04:05:00.000","212.17","1.006","6706.383","5779.532",""
"2025-04-11T04:10:00.000","247.215","1.004","6886.747","3124.482",""
"2025-04-11T04:15:00.000","223.016","0.877","4855.86","5256.75",""
"2025-04-11T04:20:00.000","252.213","0.987","7814.245","3375.476",""
"2025-04-11T04:25:00.000","258.17","1","8272.923","1290.389",""
"2025-04-11T04:30:00.000","257.167","1.005","8653.378","2375.027",""
"2025-04-11T04:35:00.000","277.999","0.876","6273.27","4225.604",""
"2025-04-11T04:40:00.000","278.781","0.933","9169.387","2300.105",""
"2025-04-11T04:45:00.000","233.183","0.962","8066.477","3856.327",""
"2025-04-11T04:50:00.000","189.921","0.987","4697.987","6180.527",""
"2025-04-11T04:55:00.000","216.706","1.005","9386.487","4927.589",""
"2025-04-11T05:00:00.000","216.708","0.967","5720.692","8647.752",""
"2025-04-11T05:05:00.000","239.015","0.976","8979.59","941.718",""
"2025-04-11T05:10:00.000","215.199","1.002","7651.455","1052.501",""
"2025-04-11T05:15:00.000","216.215","0.995","7499.015","745.874",""
"2025-04-11T05:20:00.000","212.283","0.943","6036.67","4047.878",""
"2025-04-11T05:25:00.000","196.323","1.005","5442.279","1634.022",""
"2025-04-11T05:30:00.000","202.08","1.005","6020.627","880.175",""
"2025-04-11T05:35:00.000","208.079","1.002","6942.701","1382.866",""
"2025-04-11T05:40:00.000","246.104","0.885","8469.758","11756.114",""
"2025-04-11T05:45:00.000","277.921","1.004","11885.412","4111.864",""
"2025-04-11T05:50:00.000","245.653","1.003","8588.197","2758.761",""
"2025-04-11T05:55:00.000","253.87","1.003","10380.524","1768.587",""
"2025-04-11T06:00:00.000","223.966","0.846","5121.151","8320.287",""
"2025-04-11T06:05:00.000","289.753","0.997","10134.432","3367.996",""
"2025-04-11T06:10:00.000","197.04","0.986","3971.112","3392.885",""
"2025-04-11T06:15:00.000","211.666","1.004","7897.614","2771.715",""
"2025-04-11T06:20:00.000","212.023","0.968","5682.284","1724.584",""
"2025-04-11T06:25:00.000","279.79","0.96","11366.526","3037.049",""
"2025-04-11T06:30:00.000","257.291","0.926","9521.143","13176.424",""
"2025-04-11T06:35:00.000","248.075","0.989","9489.96","10171.565",""
"2025-04-11T06:40:00.000","266.273","0.975","9219.696","2142.667",""
"2025-04-11T06:45:00.000","258.833","0.974","8322.888","899.637",""
"2025-04-11T06:50:00.000","281.38","1.007","9123.848","1500.469",""
"2025-04-11T06:55:00.000","272.007","0.997","10702.389","2349.026",""
"2025-04-11T07:00:00.000","248.957","0.951","8185.845","4138.991",""
"2025-04-11T07:05:00.000","239.205","0.984","6031.95","3197.893",""
"2025-04-11T07:10:00.000","244.84","1.004","7793.408","828.719",""
"2025-04-11T07:15:00.000","243.542","0.966","8030.456","7132.01",""
"2025-04-11T07:20:00.000","198.073","0.952","4961.39","6774.139",""
"2025-04-11T07:25:00.000","189.141","1.004","4214.802","8558.136",""
"2025-04-11T07:30:00.000","215.011","0.957","5371.173","4482.235",""
"2025-04-11T07:35:00.000","322.458","0.986","10457.573","5848.707",""
"2025-04-11T07:40:00.000","262.065","1.006","9155.008","5738.53",""
"2025-04-11T07:45:00.000","224.543","1.004","7334.881","5093.878",""
"2025-04-11T07:50:00.000","257.853","1.006","8319.001","3670.079",""
"2025-04-11T07:55:00.000","239.137","1.002","7121.452","3317.685",""
"2025-04-11T08:00:00.000","223.736","0.954","4694.69","5548.97",""
"2025-04-11T08:05:00.000","252.572","0.978","8505.339","1221.881",""
"2025-04-11T08:10:00.000","257.744","0.934","7997.587","3373.669",""
"2025-04-11T08:15:00.000","260.118","0.897","9545.079","4926.307",""
"2025-04-11T08:20:00.000","223.405","1.003","7202.764","5324.672",""
"2025-04-12T01:20:00.000","171.897","0.988","4636.13","2737.435","2025-04-12"
"2025-04-12T01:25:00.000","156.163","0.979","3731.49","1388.121",""
"2025-04-12T01:30:00.000","142.856","0.908","3047.323","1236.365",""
"2025-04-12T01:35:00.000","144.885","1.004","3586.358","2572.64",""
"2025-04-12T01:40:00.000","155.301","1.006","4014.803","1540.015",""
"2025-04-12T01:45:00.000","165.856","0.969","4407.903","1315.351",""
"2025-04-12T01:50:00.000","146.318","0.988","3408.22","1531.89",""
"2025-04-12T01:55:00.000","149.326","0.979","3629.404","1077.038",""
"2025-04-12T02:00:00.000","144.936","1.007","3558.486","1079.865",""
"2025-04-12T02:05:00.000","140.512","0.934","3390.305","916.295",""
"2025-04-12T02:30:00.000","120.316","1.006","2440.049","682.816",""
"2025-04-12T02:35:00.000","123.637","1.001","2705.674","1046.38",""
"2025-04-12T02:40:00.000","138.031","0.901","2952.057","3123.829",""
"2025-04-12T02:45:00.000","124.218","1.003","3026.59","1382.792",""
"2025-04-12T02:50:00.000","137.866","0.974","3139.084","1932.987",""
"2025-04-12T02:55:00.000","139.739","1.003","3730.97","1181.927",""
"2025-04-12T03:00:00.000","145.58","0.977","3719.734","1002.523",""
"2025-04-12T03:05:00.000","157.255","0.993","4566.137","894.851",""
"2025-04-12T03:10:00.000","152.613","1.002","4241.978","783.629",""
"2025-04-12T03:15:00.000","149.92","1.003","3517.747","1538.991",""
"2025-04-12T03:20:00.000","170.785","0.986","5028.668","1205.463",""
"2025-04-12T03:25:00.000","159.09","1.005","4231.237","1278.485",""
"2025-04-12T03:30:00.000","142.731","1.004","3951.142","884.391",""
"2025-04-12T03:35:00.000","141.984","0.928","2373.603","5181.385",""
"2025-04-12T03:40:00.000","131.938","0.998","1998.4","1887.089",""
"2025-04-12T03:45:00.000","108.691","0.921","1489.549","3579.252",""
"2025-04-12T03:50:00.000","124.022","1.003","2332.342","1550.221",""
"2025-04-12T04:10:00.000","138.252","1.004","2912.167","1502.16",""
"2025-04-12T04:15:00.000","143.219","0.988","2802.22","1721.78",""
"2025-04-12T04:20:00.000","138.457","1.003","2737.725","1752.023",""
"2025-04-12T04:25:00.000","180.166","0.938","5196.129","3318.811",""
"2025-04-12T04:30:00.000","166.987","0.929","3864.998","2046.899",""
"2025-04-12T04:35:00.000","154.027","0.894","2584.277","5757.26",""
"2025-04-12T04:40:00.000","156.953","0.982","2865.109","1640.151",""
"2025-04-12T04:45:00.000","162.427","0.924","2013.929","2252.775",""
"2025-04-12T04:50:00.000","154.384","1.003","1651.674","2299.112",""
"2025-04-12T04:55:00.000","164.541","0.94","1870.92","4216.587",""
"2025-04-12T05:00:00.000","159.666","0.998","2885.326","2629.416",""
"2025-04-12T05:05:00.000","129.49","0.933","785.649","1214.056",""
"2025-04-12T05:10:00.000","195.961","0.913","3628.075","5403.054",""
"2025-04-12T05:15:00.000","146.917","0.997","2127.917","1590.64",""
"2025-04-12T05:20:00.000","112.242","1.004","1279.264","1683.765",""
"2025-04-12T05:25:00.000","137.851","0.77","1882.043","5551.119",""
"2025-04-12T05:30:00.000","156.963","0.744","1966.899","7044.921",""
"2025-04-12T05:40:00.000","167.528","0.97","2473.936","5760.818",""
"2025-04-12T05:45:00.000","166.01","0.971","2568.814","3552.17",""
"2025-04-12T05:50:00.000","171.014","0.716","2376.374","2887.869",""
"2025-04-12T06:05:00.000","201.024","0.912","3581.946","4686.777",""
"2025-04-12T06:10:00.000","165.376","1.003","3085.75","1548.515",""
"2025-04-12T06:15:00.000","155.257","1.004","2253.873","1240.725",""
"2025-04-12T06:20:00.000","147.362","1.005","2245.31","1063.02",""
"2025-04-12T06:25:00.000","194.083","0.744","1035.078","3682.977",""
"2025-04-12T06:30:00.000","204.007","0.931","3383.884","4032.175",""
"2025-04-12T06:35:00.000","173.759","0.747","2580.057","4574.172",""
"2025-04-12T06:40:00.000","137.069","0.846","1508.207","2683.008",""
"2025-04-12T06:45:00.000","212.145","0.881","4270.09","3601.781",""
"2025-04-12T06:50:00.000","181.964","0.963","2078.947","4017.779",""
"2025-04-12T06:55:00.000","208.667","1.004","4087.25","3920.949",""
"2025-04-12T07:00:00.000","186.26","1.002","3339.335","3579.537",""
"2025-04-12T07:05:00.000","153.137","0.931","3417.33","3900.877",""
"2025-04-12T07:10:00.000","218.756","0.911","3644.269","4723.447",""
"2025-04-12T07:15:00.000","240.229","0.99","4143.301","3726.554",""
"2025-04-12T07:20:00.000","277.779","0.934","6413.134","5041.297",""
"2025-04-12T07:25:00.000","275.831","0.975","7675.865","5232.35",""
"2025-04-12T07:30:00.000","276.745","1.002","6055.947","7422.399",""
"2025-04-12T07:35:00.000","211.903","1.006","3701.024","4093.901",""
"2025-04-12T07:40:00.000","215.747","1.001","4838.246","3268.972",""
"2025-04-12T07:45:00.000","200.524","0.959","3664.159","1260.32",""
"2025-04-12T07:50:00.000","212.65","0.986","2330.133","3759.675",""
"2025-04-12T07:55:00.000","175.382","1.003","1663.991","3673.411",""
"2025-04-12T08:00:00.000","234.213","0.869","5198.526","7957.546",""
"2025-04-12T08:05:00.000","251.315","0.861","5114.388","8706.226",""
"2025-04-12T08:10:00.000","153.723","0.984","1908.378","4471.379",""
"2025-04-12T08:15:00.000","142.178","0.993","1900.975","3961.321",""
"2025-04-12T08:20:00.000","153.186","0.929","2769.453","2117.802",""
"2025-04-12T08:25:00.000","190.973","1.003","2845.808","3159.596",""
"2025-04-12T08:30:00.000","176.238","0.944","3077.149","4715.695",""
"2025-04-12T08:35:00.000","166.198","0.945","3603.404","8217.132",""
"2025-04-12T08:40:00.000","178.254","0.958","3533.135","3012.182",""
"2025-04-12T08:45:00.000","179.481","1.002","2836.129","4960.827",""
