"dateOfSleep","duration","efficiency","endTime","infoCode","isMainSleep","levels__data__dateTime","levels__data__level","levels__data__seconds","levels__summary__|","levels__summary__|__count","levels__summary__|__minutes","levels__|","levels__||","levels__||__count","levels__||__minutes","levels__||__thirtyDayAvgMinutes","levels__|__dateTime","levels__|__level","levels__|__seconds","logId","logType","minutesAfterWakeup","minutesAsleep","minutesAwake","minutesToFallAsleep","startTime","timeInBed","type"
"2025-04-10","30780000","97","2025-04-10T09:39:30.000","0","True","","","","","","","data","","","","","2025-04-10T01:06:00.000","wake","810","48925634918","auto_detected","0","458","55","0","2025-04-10T01:06:00.000","513","stages"
"","","","","","","","","","","","","","","","","","2025-04-10T01:19:30.000","deep","270","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T01:24:00.000","wake","270","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T01:28:30.000","light","540","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T01:37:30.000","deep","2370","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T02:17:00.000","light","4380","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T03:30:00.000","wake","480","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T03:38:00.000","light","360","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T03:44:00.000","deep","2250","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T04:21:30.000","light","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T04:22:00.000","rem","1020","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T04:39:00.000","light","780","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T04:52:00.000","deep","1320","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T05:14:00.000","light","3120","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T06:06:00.000","rem","2310","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T06:44:30.000","light","3630","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T07:45:00.000","wake","420","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T07:52:00.000","light","270","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T07:56:30.000","rem","2190","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T08:33:00.000","light","840","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T08:47:00.000","deep","330","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T08:52:30.000","light","1410","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T09:16:00.000","rem","1410","","","","","","","","",""
"","","","","","","","","","","","","shortData","","","","","2025-04-10T01:32:00.000","wake","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T02:16:00.000","wake","60","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T02:19:30.000","wake","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T02:32:30.000","wake","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T02:34:30.000","wake","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T02:44:00.000","wake","60","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T03:07:00.000","wake","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T03:14:00.000","wake","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T03:19:30.000","wake","120","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T04:19:00.000","wake","150","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T04:37:00.000","wake","120","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T05:29:30.000","wake","120","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T05:36:30.000","wake","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T05:58:30.000","wake","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T06:24:00.000","wake","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T06:44:00.000","wake","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T07:15:00.000","wake","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T07:17:00.000","wake","150","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T07:39:00.000","wake","60","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T08:07:30.000","wake","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T08:54:30.000","wake","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T09:34:00.000","wake","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-10T09:38:00.000","wake","90","","","","","","","","",""
"","","","","","","","","","","","","summary","deep","5","105","71","","","","","","","","","","","",""
"","","","","","","","","","","","","","light","25","243","294","","","","","","","","","","","",""
"","","","","","","","","","","","","","rem","7","110","118","","","","","","","","","","","",""
"","","","","","","","","","","","","","wake","27","55","49","","","","","","","","","","","",""
"2025-04-09","31140000","97","2025-04-09T10:04:00.000","0","True","","","","","","","data","","","","","2025-04-09T01:24:30.000","wake","810","48915493131","auto_detected","0","469","50","0","2025-04-09T01:24:30.000","519","stages"
"","","","","","","","","","","","","","","","","","2025-04-09T01:38:00.000","deep","1500","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T02:03:00.000","light","480","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T02:11:00.000","deep","570","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T02:20:30.000","light","810","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T02:34:00.000","rem","1020","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T02:51:00.000","light","90","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T02:52:30.000","wake","360","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T02:58:30.000","light","120","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T03:00:30.000","deep","2250","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T03:38:00.000","wake","360","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T03:44:00.000","light","780","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T03:57:00.000","rem","1440","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T04:21:00.000","light","3030","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T05:11:30.000","deep","480","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T05:19:30.000","light","630","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T05:30:00.000","rem","2010","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T06:03:30.000","light","3180","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-04-09T06:56:30.000","rem","2520","","","","","","","","",""
